TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Arkansas St.   (H) 0 Lane,SB,4,109.288,101.5109,.7003100,46.2262,42.933,16.2109,19.999,32.2131,33.7276,38.5114,39.5260,49.6209,46.284,28.3288,25.020,70.1129,+0.1359
Georgia Tech,ACC,4,109.485,102.0120,.6894101,49.8192,47.196,16.0101,13.4327,31.6150,24.551,31.7229,39.2258,51.0180,47.5105,32.2194,30.8129,71.462,-1.5245
DePaul,BE,5,111.160,103.8151,.6874102,59.516,43.237,19.4249,19.1131,36.256,28.5142,38.8111,30.0109,60.725,43.855,39.041,27.852,68.9211,+0.2543
Santa Clara,WCC,5,109.878,102.6135,.6848103,51.1162,53.8259,14.768,19.0133,33.2104,28.9152,26.5298,36.6222,55.296,53.3217,30.6238,36.2282,69.6170,-1.5247
Yale,Ivy,6,107.9109,100.9102,.6832104,54.781,49.0149,17.6160,15.0279,34.973,26.690,33.0202,39.9268,51.5166,47.098,40.426,34.4224,67.8291,-1.3225
Loyola Chicago,A10,5,106.9117,100.193,.6825105,50.0185,45.571,14.559,18.1167,34.477,29.3161,39.4102,37.9243,53.8122,43.653,29.7257,32.6172,70.1128,+0.4335
Drake   vs. 90 Florida Atlantic,MVC,4,105.9141,99.276,.6791106,53.5105,50.0177,21.0305,23.232,38.231,29.8184,54.211,36.6222,57.365,50.0162,32.3192,33.3190,67.7298,+0.722
Liberty   vs. 200 Louisiana,CUSA,5,106.3136,99.785,.6755107,57.337,46.179,17.7165,17.7179,21.6338,23.528,30.9239,32.3152,59.040,46.587,36.786,30.2109,65.5355,+0.1162
Colorado,B12,4,104.9156,98.769,.6703108,57.732,42.729,23.1340,17.4187,36.653,25.466,42.958,24.341,56.179,41.127,40.228,30.4117,68.7234,+0.2149
California,ACC,5,108.795,102.5131,.6643109,52.8121,52.9239,19.4249,19.4116,34.186,27.0105,45.438,27.474,52.9141,50.0162,35.1116,38.4313,71.082,+0.2444
Northern Iowa,MVC,5,108.2105,102.4128,.6534110,58.824,48.7140,14.971,15.6262,18.3361,30.9216,29.0269,28.284,57.365,49.4145,41.023,31.3138,67.6301,-1.2211
Saint Louis   vs. 92 Wichita St.,A10,3,111.557,105.6191,.6532111,55.364,48.4130,20.3273,16.8211,30.0182,33.7276,23.8331,30.5117,55.981,45.375,36.589,34.4224,71.944,-0.6150
Georgetown,BE,4,109.387,103.6149,.6484112,48.8217,48.7140,18.1183,20.682,38.626,30.0188,24.7317,18.87,54.0121,44.564,26.6316,37.6301,68.8219,-0.6148
Oregon St.,WCC,5,106.7128,101.3106,.6452113,52.6125,43.540,14.559,17.9175,33.3102,25.976,31.8224,26.563,53.7126,45.069,34.0143,27.750,66.3343,-0.48135
